Date,Day,Time,Habitat,Size,Height,Species
2019.11.13,1,afternoon,shrub,small,0.0 - 0.5,Gymnometriocneumus brumalis
2019.11.13,1,afternoon,long grass,small,1.5 - 2.0,Epoicocladius ephemerae
2019.11.13,1,afternoon,shrub,small,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.13,1,afternoon,long grass,small,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.13,1,afternoon,shrub,medium,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.13,1,afternoon,long grass,medium,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.15,3,morning,shrub,small,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.21,9,midday,shrub,small,1.0 - 1.5,Gymnometriocneumus brumalis
2019.11.21,9,midday,shrub,small,2.5 - 3.0,Gymnometriocneumus brumalis
2019.11.21,9,midday,shrub,medium,1.0 - 1.5,Gymnometriocneumus brumalis
2019.11.22,10,morning,shrub,medium,0.5 - 1.0,Gymnometriocneumus brumalis
2019.11.22,10,morning,shrub,large,1.0 - 1.5,Gymnometriocneumus brumalis
2019.11.28,16,midday,shrub,large,0.5 - 1.0,Gymnometriocneumus brumalis
2019.12.04,22,afternoon,shrub,large,1.0 - 1.5,Gymnometriocneumus brumalis
2019.12.04,22,afternoon,long grass,medium,0.5 - 1.0,Gymnometriocneumus brumalis
2019.12.04,22,afternoon,short grass,small,1.5 - 2.0,Micropsectra subnitens
2019.12.04,22,afternoon,short grass,small,1.5 - 2.0,Epoicocladius ephemerae
2019.12.05,23,midday,shrub,small,0.5 - 1.0,Gymnometriocneumus brumalis
2020.01.02,51,midday,shrub,small,1.0 - 1.5,Gymnometriocneumus brumalis
2020.01.03,52,morning,long grass,small,1.5 - 2.0,Micropsectra subnitens
2020.01.08,57,afternoon,shrub,small,2.0 - 2.5,Micropsectra subnitens
2020.01.08,57,afternoon,long grass,small,1.0 - 1.5,Micropsectra subnitens
2020.01.22,71,afternoon,long grass,small,2.0 - 2.5,Micropsectra subnitens
